NO.,자소서,질문
11,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 2가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.",한국 문화 진흥에 지원한 이유와 해당 기관에 입사하면서 이루고자 하는 목표는 무엇인가요?
12,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 3가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.","한국 문화 진흥에 입사하여 제공하고자 하는 서비스가 어떤 것이며, 사용자에게 어떤 편의를 제공하고자 합니까?"
13,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 4가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.",새로운 환경에 빠르게 적응하기 위해 어떤 노력을 기울일 계획인가요? 내부 프로그램 이해와 직무에 필요한 기본 지식을 얻기 위해 어떤 방식을 사용할 것인가요?
14,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 5가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.","업무에 대한 전문성을 갖추기 위해 어떤 분야에 더 집중하고 있으며, 그 분야에서 어떤 자기개발 계획을 가지고 있나요?"
15,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 6가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.",기술과 도메인 지식을 학습하는데 있어서 어려움을 겪을 수도 있습니다. 그런 경우에 대처하는 방법이나 자기계발을 지속하는 동기부여를 어떻게 유지하시나요?
16,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 7가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.","IT 업계의 변화가 빠르다는 점을 인식하고 있는데, 이에 대응하기 위해 어떤 방식으로 기술과 트렌드를 파악하고 학습하고 있나요?"
17,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 8가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.",사용자에게 편리한 서비스를 제공하기 위해 어떤 방법으로 사용자의 입장을 이해하고 그에 맞는 서비스를 개발하고자 하나요?
18,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 9가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.","입사 후 개발팀의 한 일원으로서, 기여하고 싶은 분야나 프로젝트가 있나요? 그 분야에서 어떤 역량을 갖추고자 합니까?"
19,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 10가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.","동료들과 협업할 때 어떤 태도로 접근하고, 함께 일하는데 있어서 중요하게 생각하는 가치나 원칙이 있나요?"
20,"저는 제가 만든 서비스가 누군가에게 도움이 될 때 보람을 느낍니다. 한국 문화 진흥이 문화상품권 및 온라인 상품권을 통해 사용자에게 편리한 문화생활을 제공하듯 한국 문화 진흥에서 업무함으로써 더 넓은 범위에서 사용자에게 편리한 서비스를 제공하고 싶어 지원하게 되었습니다. 한국 문화 진흥에 입사하여 11가지 목표를 달성하겠습니다. 첫째, 빠르게 업무에 적응하겠습니다. 내부 프로그램에 대한 전반적인 기술 및 도메인을 이해하며 해당 직무에 관한 업무, 교육에 집중하여 기본 지식을 함양하겠습니다. 직무에 대한 전문성을 갖추어 개발팀의 한 일원으로써 한국 문화 진흥의 성장에 이바지하겠습니다. 둘째, 기업의 핵심 인재로 성장하기 위해 끊임없이 자기개발에 몰두하겠습니다. IT업계는 트렌트가 빨리 변한다고 생각합니다. 그에 따라 현실에 안주하지 않고 해당 기업이 필요한 기술에 대해 학습하며 성장하겠습니다. 또한 사용자에게 편리한 서비스를 제공하기 위해 사용자 입장에서 생각하며 개발하겠습니다.","5년 뒤, 한국 문화 진흥에서의 역할이나 성취해보고 싶은 큰 목표가 있으신가요? 이러한 목표를 이루기 위해 어떤 준비나 계획을 가지고 계시나요?"
21,주어진 업무에 대해 끝까지 도전하여 문제점을 해결한 경험이 있습니다. 저는 한국전자통신연구원에서 인턴으로 근무하며 아두이노 센서의 기울기 데이터를 가져와 그래픽으로 기울기를 나타내는 연구를 진행했습니다. 하지만 받아온 데이터 값을 로그로 찍어보면 알맞은 값을 수신하지만 그래픽 상에 나타나는 기울기는 일치하지 않았습니다. 처음 맡은 업무이자 스스로 해결하고 싶어 이틀 동안 해당 문제를 해결하기 위해 다양한 접근 방법과 테스트를 진행하며 문제를 해결했습니다. 그 결과 아두이노 센서의 데이터 전송 주기가 길어 그래프 표현에 어려움이 있다는 것을 알게 되었습니다. 데이터 전송 주기에 대한 아주 작은 차이였지만 그 미세한 차이가 프로그램 결과의 성공과 실패를 가른다는 것을 알았습니다. 또한 다양한 방법으로 접근하며 끝까지 매달리면 오류를 해결할 수 있다는 점도 깨달았습니다. 이러한 경험을 통해 한미약품의 이커머스 개발 직무를 수행하면서 부딪히는 문제점을 다양한 시각에서 바라보면서 포기하지 않고 해결하겠습니다.,아두이노 센서 데이터 전송 주기를 해결하기 위해 어떤 방법들을 시도하셨나요?
